component,ep_signed,ep_absmag,absmag_std,pct_abs
target_destroyed,5.9648,5.9648,0.0234,27.07
terminal_bonus,5.9414,5.9414,0.0352,26.97
striker_approach,-2.6912,2.6912,0.0165,12.21
timestep_penalty,-2.1548,2.1548,0.0069,9.78
escort,-2.0475,2.0475,0.0310,9.29
target_cover,-1.2019,1.2019,0.0028,5.46
agent_destroyed,-0.5244,0.5244,0.0850,2.38
formation,-0.5011,0.5011,0.0307,2.27
control_effort,-0.3616,0.3616,0.0047,1.64
jammer_beam_alignment,-0.3005,0.3005,0.0005,1.36
hf_margin_reward,-0.1759,0.1759,0.0008,0.80
jammer_beam_on_radar_bonus,0.1435,0.1435,0.0005,0.65
beam_control_effort,-0.0245,0.0245,0.0005,0.11
border_penalty,0.0000,0.0000,0.0000,0.00
radar_avoidance,0.0000,0.0000,0.0000,0.00
jammer_approach,0.0000,0.0000,0.0000,0.00
striker_progress,0.0000,0.0000,0.0000,0.00
jammer_progress,0.0000,0.0000,0.0000,0.00
jammer_jam_bonus,0.0000,0.0000,0.0000,0.00
paper_mission,0.0000,0.0000,0.0000,0.00
separation_penalty,0.0000,0.0000,0.0000,0.00
jammer_coalition_coverage,0.0000,0.0000,0.0000,0.00

escort_subterm,ep_signed,std,pct_escort
striker_under,-0.0760,0.0008,3.7
jammer_under,-0.1470,0.0154,7.2
over,-1.7483,0.0140,85.4
attraction,-0.0761,0.0007,3.7

episode_length_mean,36.29
episode_length_median,36.00
