component,ep_signed,ep_absmag,absmag_std,pct_abs
target_destroyed,5.9391,5.9391,0.0227,24.81
terminal_bonus,5.8969,5.8969,0.0435,24.64
striker_approach,-2.6936,2.6936,0.0202,11.25
escort,-2.5908,2.5908,0.0615,10.82
timestep_penalty,-2.1939,2.1939,0.0180,9.17
agent_destroyed,-1.2715,1.2715,0.1673,5.31
target_cover,-1.1900,1.1900,0.0064,4.97
formation,-1.0804,1.0804,0.1504,4.51
jammer_beam_alignment,-0.3437,0.3437,0.0046,1.44
control_effort,-0.3269,0.3269,0.0148,1.37
hf_margin_reward,-0.2416,0.2416,0.0101,1.01
jammer_beam_on_radar_bonus,0.1465,0.1465,0.0016,0.61
beam_control_effort,-0.0188,0.0188,0.0011,0.08
border_penalty,-0.0034,0.0034,0.0028,0.01
radar_avoidance,0.0000,0.0000,0.0000,0.00
jammer_approach,0.0000,0.0000,0.0000,0.00
striker_progress,0.0000,0.0000,0.0000,0.00
jammer_progress,0.0000,0.0000,0.0000,0.00
jammer_jam_bonus,0.0000,0.0000,0.0000,0.00
paper_mission,0.0000,0.0000,0.0000,0.00
separation_penalty,0.0000,0.0000,0.0000,0.00
jammer_coalition_coverage,0.0000,0.0000,0.0000,0.00

escort_subterm,ep_signed,std,pct_escort
striker_under,-0.0770,0.0059,3.0
jammer_under,-0.4254,0.0387,16.4
over,-1.9858,0.0477,76.6
attraction,-0.1026,0.0019,4.0

episode_length_mean,38.30
episode_length_median,36.00
