kpi,n_strikers,n_jammers,value
survival,1,1,0.1992
survival,1,2,0.5156
survival,1,3,0.5957
survival,1,4,0.4813
survival,1,5,0.4792
survival,1,6,0.3929
survival,1,7,0.3633
survival,1,8,0.3646
survival,2,1,0.1484
survival,2,2,0.5918
survival,2,3,0.7031
survival,2,4,0.8984
survival,2,5,0.9018
survival,2,6,0.9316
survival,2,7,0.9149
survival,2,8,0.8805
survival,3,1,0.0977
survival,3,2,0.3219
survival,3,3,0.4375
survival,3,4,0.4096
survival,3,5,0.6406
survival,3,6,0.7014
survival,3,7,0.7063
survival,3,8,0.7848
survival,4,1,0.1078
survival,4,2,0.3633
survival,4,3,0.3739
survival,4,4,0.4473
survival,4,5,0.6198
survival,4,6,0.7133
survival,4,7,0.7415
survival,4,8,0.7832
completion,1,1,0.0000
completion,1,2,0.4609
completion,1,3,0.5781
completion,1,4,0.4844
completion,1,5,0.5078
completion,1,6,0.4297
completion,1,7,0.4219
completion,1,8,0.4609
completion,2,1,0.0469
completion,2,2,0.6484
completion,2,3,0.8281
completion,2,4,0.9609
completion,2,5,0.9453
completion,2,6,0.9609
completion,2,7,0.9688
completion,2,8,0.9531
completion,3,1,0.0391
completion,3,2,0.3750
completion,3,3,0.5234
completion,3,4,0.5156
completion,3,5,0.7188
completion,3,6,0.8047
completion,3,7,0.8125
completion,3,8,0.8984
completion,4,1,0.0625
completion,4,2,0.4297
completion,4,3,0.4766
completion,4,4,0.5703
completion,4,5,0.7188
completion,4,6,0.8203
completion,4,7,0.8516
completion,4,8,0.8750
targets_destroyed,1,1,0.0664
targets_destroyed,1,2,0.6016
targets_destroyed,1,3,0.6836
targets_destroyed,1,4,0.6250
targets_destroyed,1,5,0.6484
targets_destroyed,1,6,0.6133
targets_destroyed,1,7,0.6172
targets_destroyed,1,8,0.6367
targets_destroyed,2,1,0.1289
targets_destroyed,2,2,0.7656
targets_destroyed,2,3,0.8672
targets_destroyed,2,4,0.9805
targets_destroyed,2,5,0.9648
targets_destroyed,2,6,0.9805
targets_destroyed,2,7,0.9844
targets_destroyed,2,8,0.9766
targets_destroyed,3,1,0.1250
targets_destroyed,3,2,0.4922
targets_destroyed,3,3,0.6445
targets_destroyed,3,4,0.6719
targets_destroyed,3,5,0.8047
targets_destroyed,3,6,0.8828
targets_destroyed,3,7,0.8750
targets_destroyed,3,8,0.9453
targets_destroyed,4,1,0.1602
targets_destroyed,4,2,0.5391
targets_destroyed,4,3,0.6523
targets_destroyed,4,4,0.7070
targets_destroyed,4,5,0.8203
targets_destroyed,4,6,0.8711
targets_destroyed,4,7,0.9023
targets_destroyed,4,8,0.9258
frag,1,1,0.0057
frag,1,2,0.0007
frag,1,3,0.0025
frag,1,4,0.0377
frag,1,5,0.0427
frag,1,6,0.0453
frag,1,7,0.0523
frag,1,8,0.0473
frag,2,1,0.0069
frag,2,2,0.0084
frag,2,3,0.0822
frag,2,4,0.2035
frag,2,5,0.2092
frag,2,6,0.2114
frag,2,7,0.1990
frag,2,8,0.1730
frag,3,1,0.0070
frag,3,2,0.0190
frag,3,3,0.0772
frag,3,4,0.0722
frag,3,5,0.1132
frag,3,6,0.1181
frag,3,7,0.1022
frag,3,8,0.1059
frag,4,1,0.0053
frag,4,2,0.0186
frag,4,3,0.0447
frag,4,4,0.0507
frag,4,5,0.0828
frag,4,6,0.0849
frag,4,7,0.0847
frag,4,8,0.0830
mean_reward,1,1,-15.1549
mean_reward,1,2,-7.0353
mean_reward,1,3,-7.8033
mean_reward,1,4,-15.8977
mean_reward,1,5,-21.5146
mean_reward,1,6,-30.5192
mean_reward,1,7,-36.2230
mean_reward,1,8,-41.9938
mean_reward,2,1,-18.5623
mean_reward,2,2,-6.0341
mean_reward,2,3,-4.8530
mean_reward,2,4,-0.2065
mean_reward,2,5,-2.8211
mean_reward,2,6,-5.3883
mean_reward,2,7,-10.0360
mean_reward,2,8,-15.0136
mean_reward,3,1,-23.6653
mean_reward,3,2,-15.4312
mean_reward,3,3,-14.9129
mean_reward,3,4,-20.5229
mean_reward,3,5,-16.6369
mean_reward,3,6,-19.0360
mean_reward,3,7,-25.0175
mean_reward,3,8,-27.0777
mean_reward,4,1,-29.7980
mean_reward,4,2,-20.1932
mean_reward,4,3,-20.9960
mean_reward,4,4,-25.1806
mean_reward,4,5,-24.7581
mean_reward,4,6,-27.3896
mean_reward,4,7,-33.9590
mean_reward,4,8,-39.6099
mean_duration,1,1,77.0469
mean_duration,1,2,55.7969
mean_duration,1,3,55.1406
mean_duration,1,4,60.2266
mean_duration,1,5,63.7969
mean_duration,1,6,66.4766
mean_duration,1,7,66.1094
mean_duration,1,8,69.8516
mean_duration,2,1,65.2656
mean_duration,2,2,47.7969
mean_duration,2,3,45.0469
mean_duration,2,4,37.4375
mean_duration,2,5,36.4453
mean_duration,2,6,36.3594
mean_duration,2,7,37.0469
mean_duration,2,8,36.4688
mean_duration,3,1,59.3047
mean_duration,3,2,42.0703
mean_duration,3,3,40.1406
mean_duration,3,4,40.5000
mean_duration,3,5,37.8828
mean_duration,3,6,37.7344
mean_duration,3,7,39.3672
mean_duration,3,8,37.4922
mean_duration,4,1,62.8828
mean_duration,4,2,47.3438
mean_duration,4,3,42.1172
mean_duration,4,4,43.2969
mean_duration,4,5,40.3125
mean_duration,4,6,40.0234
mean_duration,4,7,38.6875
mean_duration,4,8,37.5703
