composition,n_strikers,n_jammers,kpi,direction,n_pairs,median_complete,median_baseline,p_value,significant
1s1j,1,1,targets_destroyed,higher,100,0.0000,0.0000,0.929156,0
1s1j,1,1,survival,higher,100,0.5000,0.0000,0.000000,1
1s1j,1,1,duration,lower,100,150.0000,26.0000,1.000000,0
1s2j,1,2,targets_destroyed,higher,100,1.0000,0.2500,0.000000,1
1s2j,1,2,survival,higher,100,1.0000,0.0000,0.000000,1
1s2j,1,2,duration,lower,100,45.5000,32.0000,1.000000,0
1s3j,1,3,targets_destroyed,higher,100,1.0000,0.0000,0.000000,1
1s3j,1,3,survival,higher,100,1.0000,0.0000,0.000000,1
1s3j,1,3,duration,lower,100,52.5000,32.5000,1.000000,0
1s4j,1,4,targets_destroyed,higher,100,1.0000,0.0000,0.000000,1
1s4j,1,4,survival,higher,100,1.0000,0.0000,0.000000,1
1s4j,1,4,duration,lower,100,51.5000,31.0000,1.000000,0
1s5j,1,5,targets_destroyed,higher,100,1.0000,0.0000,0.000000,1
1s5j,1,5,survival,higher,100,0.8333,0.0000,0.000000,1
1s5j,1,5,duration,lower,100,51.0000,34.5000,1.000000,0
1s6j,1,6,targets_destroyed,higher,100,1.0000,0.0000,0.000000,1
1s6j,1,6,survival,higher,100,0.7143,0.0000,0.000000,1
1s6j,1,6,duration,lower,100,52.5000,35.0000,1.000000,0
2s1j,2,1,targets_destroyed,higher,100,0.0000,0.0000,0.999999,0
2s1j,2,1,survival,higher,100,0.3333,0.0000,0.000000,1
2s1j,2,1,duration,lower,100,150.0000,29.0000,1.000000,0
2s2j,2,2,targets_destroyed,higher,100,1.0000,0.5000,0.000002,1
2s2j,2,2,survival,higher,100,1.0000,0.0000,0.000000,1
2s2j,2,2,duration,lower,100,43.0000,38.5000,0.999763,0
2s3j,2,3,targets_destroyed,higher,100,1.0000,1.0000,0.000000,1
2s3j,2,3,survival,higher,100,1.0000,0.3000,0.000000,1
2s3j,2,3,duration,lower,100,42.5000,39.5000,0.999929,0
2s4j,2,4,targets_destroyed,higher,100,1.0000,1.0000,0.000000,1
2s4j,2,4,survival,higher,100,1.0000,0.3333,0.000000,1
2s4j,2,4,duration,lower,100,37.0000,38.0000,0.096375,0
2s5j,2,5,targets_destroyed,higher,100,1.0000,0.5000,0.000000,1
2s5j,2,5,survival,higher,100,1.0000,0.0000,0.000000,1
2s5j,2,5,duration,lower,100,37.5000,38.0000,0.376264,0
2s6j,2,6,targets_destroyed,higher,100,1.0000,0.5000,0.000000,1
2s6j,2,6,survival,higher,100,1.0000,0.0000,0.000000,1
2s6j,2,6,duration,lower,100,38.0000,39.0000,0.250780,0
3s1j,3,1,targets_destroyed,higher,100,0.0000,0.0000,0.999998,0
3s1j,3,1,survival,higher,100,0.2500,0.0000,0.000000,1
3s1j,3,1,duration,lower,100,150.0000,29.0000,1.000000,0
3s2j,3,2,targets_destroyed,higher,100,1.0000,0.5000,0.000006,1
3s2j,3,2,survival,higher,100,1.0000,0.0000,0.000000,1
3s2j,3,2,duration,lower,100,41.0000,36.5000,0.999995,0
3s3j,3,3,targets_destroyed,higher,100,1.0000,0.5000,0.000000,1
3s3j,3,3,survival,higher,100,1.0000,0.0000,0.000000,1
3s3j,3,3,duration,lower,100,43.0000,38.5000,0.999995,0
3s4j,3,4,targets_destroyed,higher,100,1.0000,0.5000,0.000000,1
3s4j,3,4,survival,higher,100,1.0000,0.0000,0.000000,1
3s4j,3,4,duration,lower,100,39.5000,41.5000,0.242105,0
3s5j,3,5,targets_destroyed,higher,100,1.0000,0.5000,0.000000,1
3s5j,3,5,survival,higher,100,1.0000,0.0000,0.000000,1
3s5j,3,5,duration,lower,100,38.0000,40.0000,0.023634,1
3s6j,3,6,targets_destroyed,higher,100,1.0000,0.5000,0.000000,1
3s6j,3,6,survival,higher,100,0.8889,0.0000,0.000000,1
3s6j,3,6,duration,lower,100,39.0000,39.0000,0.613737,0
