kpi,n_strikers,n_jammers,complete,baseline,difference,complete_ci,baseline_ci,difference_ci
targets_destroyed,1,1,0.1608,0.0462,0.1146,0.0178,0.0097,0.0161
targets_destroyed,1,2,0.6628,0.3878,0.2750,0.0256,0.0264,0.0296
targets_destroyed,1,3,0.7838,0.5147,0.2692,0.0213,0.0261,0.0273
targets_destroyed,1,4,0.8088,0.4146,0.3942,0.0192,0.0251,0.0273
targets_destroyed,1,5,0.7694,0.2761,0.4933,0.0205,0.0217,0.0261
targets_destroyed,1,6,0.7043,0.1715,0.5328,0.0225,0.0161,0.0252
targets_destroyed,2,1,0.2227,0.3246,-0.1019,0.0202,0.0223,0.0205
targets_destroyed,2,2,0.8643,0.7852,0.0792,0.0176,0.0194,0.0209
targets_destroyed,2,3,0.9433,0.8159,0.1273,0.0111,0.0191,0.0203
targets_destroyed,2,4,0.9798,0.7437,0.2362,0.0057,0.0222,0.0220
targets_destroyed,2,5,0.9798,0.4313,0.5485,0.0058,0.0248,0.0247
targets_destroyed,2,6,0.9782,0.4041,0.5741,0.0056,0.0234,0.0233
targets_destroyed,3,1,0.2350,0.3928,-0.1578,0.0202,0.0223,0.0216
targets_destroyed,3,2,0.8680,0.6833,0.1847,0.0177,0.0221,0.0252
targets_destroyed,3,3,0.9322,0.6613,0.2708,0.0128,0.0254,0.0254
targets_destroyed,3,4,0.9563,0.7284,0.2278,0.0098,0.0229,0.0226
targets_destroyed,3,5,0.9634,0.4933,0.4702,0.0087,0.0238,0.0238
targets_destroyed,3,6,0.9692,0.5249,0.4443,0.0075,0.0235,0.0233
survival,1,1,0.4115,0.2035,0.2080,0.0157,0.0160,0.0221
survival,1,2,0.6303,0.2990,0.3313,0.0281,0.0268,0.0329
survival,1,3,0.7050,0.3558,0.3492,0.0269,0.0291,0.0326
survival,1,4,0.6874,0.2360,0.4514,0.0274,0.0249,0.0324
survival,1,5,0.6170,0.1175,0.4995,0.0283,0.0183,0.0299
survival,1,6,0.5323,0.0709,0.4614,0.0283,0.0131,0.0294
survival,2,1,0.2950,0.1267,0.1683,0.0159,0.0196,0.0195
survival,2,2,0.7355,0.5683,0.1673,0.0243,0.0282,0.0289
survival,2,3,0.7956,0.6342,0.1614,0.0195,0.0269,0.0278
survival,2,4,0.8798,0.5393,0.3405,0.0163,0.0279,0.0286
survival,2,5,0.8716,0.2030,0.6686,0.0157,0.0217,0.0244
survival,2,6,0.8201,0.1561,0.6640,0.0162,0.0186,0.0218
survival,3,1,0.2253,0.1467,0.0785,0.0152,0.0200,0.0199
survival,3,2,0.7208,0.4074,0.3134,0.0239,0.0268,0.0306
survival,3,3,0.7855,0.4523,0.3332,0.0199,0.0268,0.0280
survival,3,4,0.7923,0.4870,0.3053,0.0183,0.0264,0.0254
survival,3,5,0.7821,0.2142,0.5679,0.0181,0.0210,0.0248
survival,3,6,0.7697,0.2142,0.5554,0.0177,0.0203,0.0230
duration,1,1,116.2600,86.9800,29.2800,3.2712,3.3776,4.5714
duration,1,2,67.6380,59.2920,8.3460,2.1252,2.1480,2.8979
duration,1,3,67.7990,52.1750,15.6240,1.7574,1.3048,2.0961
duration,1,4,66.1610,49.8670,16.2940,1.5646,1.4034,1.9571
duration,1,5,67.1950,50.1590,17.0360,1.6748,1.6870,2.2369
duration,1,6,67.0810,71.6420,-4.5610,1.8302,2.5114,2.9934
duration,2,1,105.9350,38.6220,67.3130,3.5137,0.9361,3.5675
duration,2,2,57.2930,53.4640,3.8290,1.1829,1.0002,1.2432
duration,2,3,54.8700,54.1480,0.7220,1.1646,0.9190,1.2557
duration,2,4,45.0850,53.5250,-8.4400,0.7077,1.1498,1.2940
duration,2,5,45.0780,51.5000,-6.4220,0.8531,1.4850,1.7402
duration,2,6,45.9020,58.4150,-12.5130,0.9486,1.9353,2.2070
duration,3,1,100.5720,38.9760,61.5960,3.5554,1.0691,3.6745
duration,3,2,55.5220,53.4570,2.0650,1.0968,1.1590,1.3714
duration,3,3,54.7880,50.7330,4.0550,1.0092,1.1830,1.3788
duration,3,4,51.1520,53.0350,-1.8830,1.1074,1.1222,1.4433
duration,3,5,48.5870,55.6140,-7.0270,0.9787,1.7085,1.9753
duration,3,6,47.1460,57.6150,-10.4690,0.9406,1.7067,1.9350
