run,completion,targets,survival,fragmentation,duration,reward
0,1.0,1.0,1.0,0.0,56.0,-5.903036117553711
1,1.0,1.0,1.0,0.0,58.0,-7.9172468185424805
2,1.0,1.0,1.0,0.0,44.0,-3.5629067420959473
3,1.0,1.0,1.0,0.0,37.0,-1.0090398788452148
4,1.0,1.0,1.0,0.0,55.0,-7.436232566833496
5,1.0,1.0,1.0,0.0,52.0,-6.360868453979492
6,1.0,1.0,1.0,0.0,47.0,-4.60269832611084
7,0.0,0.5,0.0,0.0,37.0,-16.039506912231445
8,1.0,1.0,1.0,0.0,46.0,-5.463067054748535
9,1.0,1.0,1.0,0.0,40.0,-2.762906074523926
10,1.0,1.0,1.0,0.0,61.0,-8.182950973510742
11,1.0,1.0,1.0,0.0,63.0,-9.474016189575195
12,1.0,1.0,1.0,0.0,35.0,-0.3928837776184082
13,1.0,1.0,1.0,0.0,38.0,-1.865429401397705
14,1.0,1.0,1.0,0.0,58.0,-7.354874134063721
15,1.0,1.0,1.0,0.0,52.0,-6.207756519317627
16,1.0,1.0,1.0,0.0,44.0,-3.414201259613037
17,1.0,1.0,1.0,0.0,48.0,-4.691723346710205
18,1.0,1.0,1.0,0.0,65.0,-9.809381484985352
19,1.0,1.0,1.0,0.0,54.0,-5.531946182250977
20,1.0,1.0,1.0,0.0,59.0,-8.508230209350586
21,1.0,1.0,1.0,0.0,42.0,-3.1723275184631348
22,1.0,1.0,1.0,0.0,67.0,-9.92093276977539
23,1.0,1.0,1.0,0.0,42.0,-3.8530635833740234
24,1.0,1.0,1.0,0.0,39.0,-1.9723725318908691
25,1.0,1.0,1.0,0.0,57.0,-7.136847496032715
26,1.0,1.0,1.0,0.0,49.0,-4.814765930175781
27,1.0,1.0,1.0,0.0,47.0,-2.9661765098571777
28,1.0,1.0,1.0,0.0,55.0,-6.529809474945068
29,1.0,1.0,1.0,0.0,48.0,-4.910597801208496
30,1.0,1.0,1.0,0.0,46.0,-3.334195613861084
31,1.0,1.0,1.0,0.0,44.0,-2.8037242889404297
32,1.0,1.0,1.0,0.0,62.0,-7.905241012573242
33,1.0,1.0,1.0,0.0,46.0,-4.807477951049805
34,1.0,1.0,1.0,0.0,47.0,-4.435517311096191
35,1.0,1.0,1.0,0.0,51.0,-6.7368645668029785
36,1.0,1.0,1.0,0.0,40.0,-2.569821357727051
37,1.0,1.0,1.0,0.0,57.0,-6.227900505065918
38,1.0,1.0,1.0,0.0,40.0,-2.9583029747009277
39,1.0,1.0,1.0,0.0,35.0,-1.0096650123596191
40,1.0,1.0,1.0,0.0,56.0,-6.166120529174805
41,1.0,1.0,1.0,0.0,64.0,-9.692926406860352
42,1.0,1.0,1.0,0.0,51.0,-6.682751655578613
43,1.0,1.0,1.0,0.0,46.0,-5.405837059020996
44,1.0,1.0,1.0,0.0,35.0,-0.8317279815673828
45,1.0,1.0,1.0,0.0,44.0,-2.9002151489257812
46,1.0,1.0,1.0,0.0,76.0,-12.118744850158691
47,1.0,1.0,1.0,0.0,48.0,-5.970161437988281
48,1.0,1.0,1.0,0.0,64.0,-8.60380744934082
49,1.0,1.0,1.0,0.0,67.0,-8.924453735351562
50,1.0,1.0,1.0,0.0,48.0,-5.372794151306152
51,1.0,1.0,1.0,0.0,51.0,-6.469331741333008
52,0.0,0.0,0.0,0.0,47.0,-20.583602905273438
53,1.0,1.0,1.0,0.0,74.0,-11.101130485534668
54,1.0,1.0,1.0,0.0,43.0,-3.205759048461914
55,1.0,1.0,1.0,0.0,43.0,-2.800215721130371
56,1.0,1.0,1.0,0.0,64.0,-10.34002685546875
57,1.0,1.0,1.0,0.0,46.0,-3.785583019256592
58,1.0,1.0,1.0,0.0,55.0,-6.006135940551758
59,1.0,1.0,1.0,0.0,44.0,-3.9193787574768066
60,1.0,1.0,1.0,0.0,57.0,-7.536647796630859
61,1.0,1.0,1.0,0.0,72.0,-11.368034362792969
62,1.0,1.0,1.0,0.0,63.0,-8.63153076171875
63,1.0,1.0,1.0,0.0,48.0,-4.838460922241211
64,1.0,1.0,1.0,0.0,38.0,-1.7411603927612305
65,1.0,1.0,1.0,0.0,42.0,-3.496886730194092
66,0.0,0.5,0.0,0.0,31.0,-15.139720916748047
67,1.0,1.0,1.0,0.0,35.0,-0.6475367546081543
68,1.0,1.0,1.0,0.0,68.0,-10.050629615783691
69,1.0,1.0,1.0,0.0,59.0,-7.668865203857422
70,1.0,1.0,1.0,0.0,42.0,-2.5763587951660156
71,1.0,1.0,1.0,0.0,60.0,-7.551905155181885
72,1.0,1.0,1.0,0.0,50.0,-4.686598777770996
73,1.0,1.0,1.0,0.0,64.0,-9.45930290222168
74,1.0,1.0,1.0,0.0,45.0,-4.403946876525879
75,1.0,1.0,1.0,0.0,62.0,-7.21422004699707
